question,original_image,labeled_image,mask_image,molmo_image
Is there a logo on the remote?,images/0_original.jpg,images/0_labeled.jpg,masks_gt/0_mask.png,molmo/0_molmo.png
Is this the shortest glass?,images/1_original.jpg,images/1_labeled.jpg,masks_gt/1_mask.png,molmo/1_molmo.png
What is on the object?,images/2_original.jpg,images/2_labeled.jpg,masks_gt/2_mask.png,molmo/2_molmo.png
Where is the plastic bag?,images/3_original.jpg,images/3_labeled.jpg,masks_gt/3_mask.png,molmo/3_molmo.png
what is beside that napkin?,images/4_original.jpg,images/4_labeled.jpg,masks_gt/4_mask.png,molmo/4_molmo.png
Where is the button located?,images/5_original.jpg,images/5_labeled.jpg,masks_gt/5_mask.png,molmo/5_molmo.png
Does it touch the banana?,images/6_original.jpg,images/6_labeled.jpg,masks_gt/6_mask.png,molmo/6_molmo.png
Are the scissors open?,images/7_original.jpg,images/7_labeled.jpg,masks_gt/7_mask.png,molmo/7_molmo.png
What is the color of the shoe?,images/8_original.jpg,images/8_labeled.jpg,masks_gt/8_mask.png,molmo/8_molmo.png
How are people making use of the bench?,images/9_original.jpg,images/9_labeled.jpg,masks_gt/9_mask.png,molmo/9_molmo.png
What does the button on the mouse do?,images/10_original.jpg,images/10_labeled.jpg,masks_gt/10_mask.png,molmo/10_molmo.png
Is there any visible text on the side?,images/11_original.jpg,images/11_labeled.jpg,masks_gt/11_mask.png,molmo/11_molmo.png
Is the chair empty?,images/12_original.jpg,images/12_labeled.jpg,masks_gt/12_mask.png,molmo/12_molmo.png
What color is the pillow?,images/13_original.jpg,images/13_labeled.jpg,masks_gt/13_mask.png,molmo/13_molmo.png
What is inside the bottle?,images/14_original.jpg,images/14_labeled.jpg,masks_gt/14_mask.png,molmo/14_molmo.png
Is the lamp turned on?,images/15_original.jpg,images/15_labeled.jpg,masks_gt/15_mask.png,molmo/15_molmo.png
what type of bag is this?,images/16_original.jpg,images/16_labeled.jpg,masks_gt/16_mask.png,molmo/16_molmo.png
What is displayed on the screen?,images/17_original.jpg,images/17_labeled.jpg,masks_gt/17_mask.png,molmo/17_molmo.png
Is the screen visible?,images/18_original.jpg,images/18_labeled.jpg,masks_gt/18_mask.png,molmo/18_molmo.png
how large is that bowl?,images/19_original.jpg,images/19_labeled.jpg,masks_gt/19_mask.png,molmo/19_molmo.png
,images/20_original.jpg,images/20_labeled.jpg,masks_gt/20_mask.png,molmo/20_molmo.png
What is next to the mouse?,images/21_original.jpg,images/21_labeled.jpg,masks_gt/21_mask.png,molmo/21_molmo.png
Where is the lamp located?,images/22_original.jpg,images/22_labeled.jpg,masks_gt/22_mask.png,molmo/22_molmo.png
,images/23_original.jpg,images/23_labeled.jpg,masks_gt/23_mask.png,molmo/23_molmo.png
is that lamp beside the wall clock turn on?,images/24_original.jpg,images/24_labeled.jpg,masks_gt/24_mask.png,molmo/24_molmo.png
is that book page cover behind him open?,images/25_original.jpg,images/25_labeled.jpg,masks_gt/25_mask.png,molmo/25_molmo.png
